timestamp_us,type,hl_side,hl_px,hl_sz,lt_px,lt_sz,spread_bps,hl_oid,lt_tx
1774674469938889,T,S,38.429,0.65,38.4548,0.65,-4.19004,363548483661,d23ff187938e9e39ee33ecf648c84419652b91055754989dd9644ebb74c8258c8ea9b37b7d0641d9
1774674500373571,T,S,38.427,0.65,38.4805,0.65,4.04587,363548654636,8d97ef27ba4fb38aec963e4ba64aa6af097ffa693278d37f1c9716291063b92b1b329ddda796b420
1774674503838240,T,S,38.431,0.65,38.4621,0.65,-1.7826,363548673592,9137c91b3ae4d9466a627da302f760f4c26dc165605e160fd6310bcd59f738a1df004a1f5de788ff
1774674519175410,T,B,38.434,0.65,38.3722,0.65,-6.48049,363548748349,b76cda659e5b75fcf38fbf968161c9d3f0bc8adfb854d370cf894ffa252a66262aa303fe97872527
1774674561189183,T,S,38.413,0.65,38.4411,0.65,-2.69476,363548990396,e44783c7b22400cc4f218fd6d5a705d5a382c34ae511df049d9cac75380e6ea728f92d975b005815
1774674584740221,T,S,38.404,0.65,38.4474,0.65,0.898268,363549124828,9882dc104f7edb347f2ae566eff34ebfe9ff2937cd7e2e2ffc2177af1dc3f43d90c6355138360cd5
1774674613480597,T,B,38.383,0.65,38.3471,0.65,0.521044,363549458921,a49228780c5c7cbb46d3c7fc06c7cb6a2b06e3e757b46d520cfcde0375f06cd8ff32a7c2892a1a79
1774674616210134,T,S,38.384,0.65,38.4048,0.65,-4.06523,363549475720,14abaff9a4a5796f7a8ef7df8bdfb43f107282388ac129363116286e0408effcb0a4c5d646f58b70
1774674622466309,T,B,38.38,0.65,38.3613,0.65,4.20665,363549499182,8a92454c5306ba2cd51568676e50db8a2a31af13410d138ec3753d58fc033d6b5ea71340faa7d9b6
1774674687120995,T,B,38.367,0.65,38.3189,0.65,-2.65885,363549974844,67e574489b39900ed37515c5fac493415d658f92f0e952769c233f8941d9c010f85664663e2987be
1774674696031098,T,S,38.358,0.3,38.3897,0.5,-1.60347,363550036050,356f3c59d9780d91876d0e63c9f204f6d8c8b20053522b44de0b8c0e2c5151f15c6ea09d2f0e3cef
1774674726978219,T,S,38.364,0.3,38.3762,0.5,-6.68828,363550295322,bcfdd2b7a22a0d2df4e49362e864887db6bc7eeb8eb7219171cfed500886cb56ed05a3636b6810a9
1774674730031651,T,S,38.364,0.35,38.4001,0.5,-0.469207,363550295322,8b2733cea5551bf9eef6bb32d2b47ecda1429253228cf543862d6637d0349ff42d70a73ef848d655
1774674742987408,T,B,38.36,0.65,38.3117,0.65,-2.71149,363550382457,56b0384e63b036b45533f53b4c45ed87635956b2ace734f4668175527634b804654dad0fbfc7f49e
1774674787137699,T,B,38.356,0.65,38.2941,0.65,-6.27209,363550665286,b3935482ee93089384118b03d32b3c3b7ebe39817840448f92eaa2845e5bea533af645c57cdef6a1
1774674883391127,T,S,38.341,0.65,38.3794,0.65,0.14345,363551285396,c48adf5e50cb3836325286cbe0aff6e5c25a84513c6351a7b4dad5e8da9d0ea03584ab355844ec54
1774674897534891,T,S,38.341,0.65,38.3693,0.65,-2.4781,363551378925,80ede973ddb4d1d8d8bfce9684b32deeb01ad88cf8210c0f9c416f7c2b78112c307b3f62d54d81b3
1774674909295800,T,S,38.34,0.65,38.3795,0.65,0.430356,363551449175,eadeeec80e6f540e3e4675f7798462bcf41cb454d39ec05f4036a7577bfdd9ad67e2b7ac067a9c65
1774675043756627,U,B,38.318,0.65,0,0,-255.778,363551895799,5f1f160e11ce1f2d1e0a65487ea9ff86c8bf456d486f10eadcd6677444601e7f37fc68ca5b043795
1774675065099037,T,S,38.331,0.65,38.3404,0.65,-7.41199,363552009014,4477c5e6fc1ee8821c8795fff1a7b628a878c1a9f258a8f8ea979db14f8b313687a4abb5465176f8
1774675134517494,T,S,38.341,0.65,38.3666,0.65,-3.19557,363552469927,9c8bac5951af2953ea8c56803024f5f8f701c2f7de9d092ce75f1acf961ab386da054496970e38be
1774675143166011,T,S,38.341,0.65,38.3742,0.65,0.104341,363552508303,d174c69f27be4492a5e538063d6189f9e4ed3387679a4f9c95f0c23403b35c0e48ff64c1d0651f5b
1774675151258143,T,S,38.344,0.65,38.3716,0.65,-2.67356,363552572431,15e048f5c74fac890084e2ca456d1f3400f64b75904fad74934490399357b151099d7c81a38f8e91
